Beats.Per.Minute,Energy,Genre
92.568,0.524,0
170.163,0.412,0
148.152,0.614,0
87.045,0.309,0
102.169,0.412,0
102.983,0.697,0
134.979,0.6,0
117,0.55,0
190,0.8,0
93,0.65,0
111,0.68,0
136,0.62,0
96,0.71,0
124,0.82,0
100,0.88,0
138,0.73,0
96,0.39,0
95,0.79,0
136.041,0.488,0
100.064,0.724,0
100.02,0.812,0
126.991,0.861,0
145.921,0.514,0
137.998,0.579,0
135.002,0.594,1
112.856,0.683,1
158.49,0.652,1
155.14,0.609,1
119.235,0.442,1
79.888,0.296,1
106.043,0.651,1
156.999,0.694,1
82.496,0.554,1
143.089,0.364,2
123.773,0.246,2
133.854,0.589,2
75.112,0.841,2
138.032,0.731,2
107.004,0.907,2
122.035,0.911,2
139.987,0.666,2
103.055,0.881,2
128.983,0.959,2
146.943,0.804,2
124.979,0.904,2
132.002,0.874,2
122.999,0.927,2
180.055,0.687,2
114.902,0.923,2
103.982,0.945,2
120.055,0.722,2
136.067,0.813,2
109.97,0.762,2
94.991,0.559,2
143.894,0.617,2
100.028,0.925,2
78.723,0.313,2
123.773,0.246,2
179.274,0.44,2
203.944,0.472,3
